a52dec 0.7.4-9
aalib 1.4rc5-12
acl 2.2.52-2
adwaita-icon-theme 3.22.0-1
aic94xx-firmware 30-9
alsa-lib 1.1.2-1
alsa-plugins 1.1.1-1
apr 1.5.2-1
apr-util 1.5.4-2
archlinux-keyring 20161021-1
aspell 0.60.6.1-5
aspell-nl 0.50.2-3
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atkmm 2.24.2-2
attr 2.4.47-1
autoconf 2.69-4
autoconf-archive 1:2016.09.16-1
automake 1.15-2
avahi 0.6.32-2
b43-firmware 6.30.163.46-1
b43-fwcutter 019-1
banshee 2.6.2-9
bash 4.3.046-1
binutils 2.27-1
blueman 2.0.4-2
bluez 5.43-1
bluez-libs 5.43-1
bluez-utils 5.43-1
boost-libs 1.62.0-2
bzip2 1.0.6-5
bzr 2.7.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-3
ca-certificates-mozilla 3.27.1-1
ca-certificates-utils 20160507-1
cairo 1.14.6-2
cairo-perl 1.106-2
cairomm 1.12.0-2
cdparanoia 10.2-5
celt 0.11.3-2
cerbere-bzr r52-1
chromaprint 1.3.2-1
clamav 0.99.2-2
clucene 2.3.3.4-9
cmake 3.6.2-2
compositeproto 0.4.2-3
compton 0.1_beta2.5-3
confuse 2.8-2
coreutils 8.25-2
cower 16-1
cracklib 2.9.6-1
crypto++ 5.6.5-2
cryptsetup 1.7.2-1
curl 7.50.3-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.12-1
dbus-glib 0.108-1
dbus-sharp 0.8.1-1
dbus-sharp-glib 0.6.0-1
dcadec 0.2.0-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.166-1
dhcpcd 6.11.3-1
diffutils 3.5-1
dmenu-xft-mouse-height-fuzzy-history 4.5-5
dmidecode 3.0-1
dmxproto 2.3.1-3
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
dpkg 1.18.10-3
dri2proto 2.8-2
dri3proto 1.0-1
e2fsprogs 1.43.3-1
efibootmgr 14-1
